"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"151","Eagle","PFF","93",12.1184305788991,"-31.005306109769",-30.8308762879284,"E092","Cisco"
"152","Eagle","PFF","93",13.3195331695412,"-31.0615383438552",-30.9175086126367,"E093","Cisco"
"153","Eagle","PFF","93",12.5304479348405,"-31.4114576146157",-31.0490461823766,"E094","Cisco"
"154","Eagle","PFF","93",12.7473538233711,"-31.3570607208109",-31.1062447869153,"E095","Cisco"
"155","Eagle","PFF","93",10.621375907251,"-30.6458716522322",-30.7488257667455,"E096","Cisco"
"156","Eagle","PFF","93",12.1810983634451,"-30.5643151129597",-30.6195969782506,"E097","Cisco"
"157","Eagle","PFF","93",10.58159005606,"-31.2648529704541",-31.3398951137597,"E098","Cisco"
"158","Eagle","PFF","93",4.13106973435181,"-27.3747786306902",-26.2778587915814,"E099","Cisco"
"159","Eagle","SNAIL","snail",3.63529879857597,"-25.4625910757118",-23.9220912713054,"E066","Snail"
"160","Eagle","SNAIL","snail",4.09736494967548,"-22.7419528669737",-21.1152919105571,"E067","Snail"
"161","Eagle","SNAIL","snail",3.8625259704362,"-22.9330132655954",-21.6970628819604,"E069","Snail"
"162","Eagle","SNAIL","snail",3.60410475991082,"-24.0521946615512",-21.7024152261851,"E070","Snail"
"163","Eagle","ZOOPS","zooplankton",5.98604614127559,"-33.0510073848801",-29.0933363405818,"E080","Zoops"
"164","Eagle","PRED","81",15.9369322834697,"-30.7717355782697",-29.1911866428147,"E001","LakeTrout"
"165","Eagle","PRED","81",13.7737838362244,"-28.6481878228098",-28.1812691047149,"E002","LakeTrout"
"166","Eagle","PRED","81",11.5143679091177,"-25.8759975451654",-26.0731361982376,"E003","LakeTrout"
"167","Eagle","PRED","81",12.7317295661799,"-25.8866222157096",-26.0895262732309,"E004","LakeTrout"
"168","Eagle","PRED","81",15.5583230491169,"-26.2746967501267",-26.2746868045679,"E005","LakeTrout"
"169","Eagle","PRED","81",13.6924787234028,"-26.2704505652372",-26.3360785263922,"E006","LakeTrout"
"170","Eagle","PRED","81",16.2049867539365,"-31.4212293873541",-29.1131572042596,"E007","LakeTrout"
"171","Eagle","PRED","81",15.6071220263993,"-31.0435482818874",-29.5565357668854,"E008","LakeTrout"
"172","Eagle","PRED","81",12.695571216853,"-28.2089565458747",-28.3518237048909,"E009","LakeTrout"
"173","Eagle","PRED","81",15.4785780574776,"-29.7720041056705",-28.4933580566578,"E010","LakeTrout"
"174","Eagle","PRED","81",16.6044808316949,"-29.9460946991754",-29.1542801653479,"E011","LakeTrout"
"175","Eagle","PRED","81",16.6044808316949,"-29.9460946991754",-29.1542801653479,"E011","LakeTrout"
"176","Eagle","PRED","81",15.6071220263993,"-31.0435482818874",-29.5565357668854,"E008","LakeTrout"
"177","Eagle","PRED","81",15.4785780574776,"-29.7720041056705",-28.4933580566578,"E010","LakeTrout"
"178","Eagle","PRED","81",15.9369322834697,"-30.7717355782697",-29.1911866428147,"E001","LakeTrout"
"179","Eagle","PRED","81",16.2049867539365,"-31.4212293873541",-29.1131572042596,"E007","LakeTrout"
"180","Abbess","LITTORAL","dragonfly",3.65810976072722,"-25.1958469116014",-23.9610332663839,"ABE020","Invert"
"181","Abbess","LITTORAL","dragonfly",1.82208823394604,"-23.7638612582814",-22.4491416662729,"ABE021","Invert"
"182","Abbess","LITTORAL","snail",2.09936901506853,"-22.2563655364165",-21.5156655217405,"ABE061","Snail"
"183","Abbess","LITTORAL","snail",1.75740781457996,"-22.2911278322852",-21.2915936177622,"ABE055","Snail"
"184","Abbess","LITTORAL","snail",1.76669221658156,"-21.7127653641776",-20.79662234012,"ABE058","Snail"
"185","Abbess","LITTORAL","snail",2.12011174333313,"-21.8502765813716",-20.6210019468237,"ABE056","Snail"
"186","Abbess","LITTORAL","snail",1.78891271574133,"-21.7545927687023",-20.5667077862999,"ABE060","Snail"
"187","Abbess","PELAGIC","zooplankton",2.59267188702738,"-30.534490106655",-27.7974062397036,"ABE065","Zoops"
